area,test_name,description,affected_records,severity,key_dimension,governance_impact,recommended_action
Customer Risk Rating,AML rating review older than 12 months,Customers have not had their AML rating reviewed within the expected period.,158,HIGH,LOW: 92; MEDIUM: 42; HIGH: 22,Customer AML ratings may not reflect current risk profile or lifecycle changes.,Define rating review frequency by customer risk level and monitor overdue reviews.
Customer Risk Rating,High-risk factors with LOW/MEDIUM assigned AML rating,Customers with relevant AML risk factors were assigned a LOW or MEDIUM AML rating.,88,HIGH,UAE: 17; Panama: 14; Turkey: 13,Potential misalignment between customer risk factors and corporate AML rating logic.,"Review rating assignment rules, perform quality assurance and prioritise remediation for higher-risk customers."
Restrictive Measures,Restrictive measures not reviewed within 12 months,Applied restrictive measures have not been reviewed within the expected period.,54,HIGH,TRANSACTION_LIMITATION: 16; COMPLIANCE_ESCALATION: 12; ONBOARDING_RESTRICTION: 10,Restrictive measures may no longer reflect current risk or remediation status.,Define review cycles for restrictive measures and escalate overdue reviews.
Training & Communication,Low AML training completion rate,Training initiatives have completion rates below 80%.,51,HIGH,Argentina: 8; Spain: 6; Mexico: 6,Weak adoption of AML lifecycle training may reduce effectiveness of transformation.,Monitor completion by geography and require action plans for low-completion areas.
Training & Communication,Critical areas without completed AML lifecycle training,Critical areas have not completed AML lifecycle training.,49,HIGH,Operations: 11; Corporate Banking: 10; Compliance: 8,AML lifecycle standards may not be understood by areas that execute customer processes.,Prioritise mandatory training completion for critical areas and track by business owner.
Documentation Standards,Active customers with expired KYC documentation,Active customers have expired KYC documentation.,30,HIGH,LOW: 16; MEDIUM: 9; HIGH: 5,Customer lifecycle documentation may not be refreshed in a timely manner.,Implement periodic KYC refresh monitoring and escalation for overdue documentation.
Training & Communication,AML communications not acknowledged,AML lifecycle communications have not been acknowledged by target areas.,18,MEDIUM,Retail Banking: 4; Risk: 4; Corporate Banking: 4,Communication may not translate into confirmed awareness or ownership.,Track acknowledgement of AML communications and escalate overdue responses.
Documentation Standards,HIGH/CRITICAL customers without valid Source of Funds,High-risk customers do not have valid Source of Funds documentation.,12,MEDIUM,Panama: 3; Spain: 2; Switzerland: 2,Documentation requirements may not be aligned with the risk-based approach.,Prioritise remediation of Source of Funds gaps for HIGH and CRITICAL customers.
Documentation Standards,Legal entities without valid Beneficial Ownership documentation,Legal entity customers do not have valid beneficial ownership documentation.,12,MEDIUM,Colombia: 5; Morocco: 3; Peru: 2,Weakness in customer ownership transparency and KYC documentation standards.,Review beneficial ownership collection controls and remediation workflow for legal entities.
Restrictive Measures,Adverse media without enhanced monitoring,Customers with adverse media do not have enhanced monitoring activated.,7,MEDIUM,Panama: 4; Morocco: 1; Turkey: 1,Potential weakness in the link between adverse media indicators and ongoing monitoring.,Review adverse media escalation criteria and monitoring activation controls.
Critical Reporting,Critical AML reports overdue or not submitted,Critical AML lifecycle reports are overdue or not submitted.,7,MEDIUM,Restrictive Measures: 3; Training & Communication: 2; AML Lifecycle Governance: 1,AML Holding may lack timely visibility over lifecycle risks and remediation status.,Escalate overdue reports and define ownership for report preparation and submission.
Restrictive Measures,HIGH/CRITICAL customers without restrictive measures,High-risk customers do not have restrictive or enhanced measures applied.,5,MEDIUM,Panama: 2; Morocco: 1; Turkey: 1,Risk-based measures may not be consistently triggered by AML rating.,Define automatic triggers for enhanced measures and review exceptions with Compliance owners.
Geography Rollout,AML lifecycle standard not fully implemented,Corporate AML lifecycle standards have not been implemented in all geographies.,4,MEDIUM,South America: 2; Europe: 1; EMEA: 1,Corporate AML standards may not be consistently deployed across geographies.,Track implementation status by geography and escalate delayed or not-started rollouts.
Geography Rollout,Open rollout gaps without closed remediation,Geographies have open rollout gaps that have not been fully remediated.,3,MEDIUM,South America: 1; Africa: 1; Central America: 1,Rollout issues may remain unresolved after implementation or communication.,Monitor open gaps through governance reporting until remediation is closed.
Critical Reporting,High-severity AML issues not escalated,Critical reports contain high-severity issues that have not been escalated.,3,MEDIUM,Restrictive Measures: 2; AML Lifecycle Governance: 1,Material AML lifecycle issues may not receive appropriate senior management attention.,Define escalation criteria for high-severity issues and monitor escalation completion.
Geography Rollout,Rollout implementation deadline missed,Geographies have missed AML lifecycle rollout implementation deadlines.,2,MEDIUM,Spain: 1; Colombia: 1,Implementation delays may weaken consistency of AML lifecycle controls.,"Assign remediation owners, update implementation plans and monitor overdue actions."
